	Control_1	Control_2	Control_3	a_1	a_2	a_3	b_1	b_2	b_3
P595	1.499443119	1.976985071	2.533028191	1.599807991	2.019609236	1.255164146	1.46342558	2.076765678	1.928865622
P596	142.7128083	155.6427533	175.0546135	178.0739975	190.7211368	181.0309849	187.0231862	196.4427855	225.1626314
P597	0.408329356	0.299537588	0.453968584	0.48777786	1.709413854	1.16331612	0.910246821	1.493040721	1.385580661
P598	7.215115354	8.429911481	7.940913347	9.891440809	9.615772647	9.256731833	9.630516081	5.554831021	9.42934678
P599	3.274224344	5.114281939	3.512951212	2.946975851	3.739253996	3.905846551	2.33118923	2.631259416	3.683744563
P600	42.92840095	49.35658607	63.89264538	34.64958275	38.94564831	12.07119144	37.7920718	39.51835945	35.44401247
P601	0.963961814	0.783432422	0.836554666	0.937153829	0.546685613	0.772759129	0.667359761	0.859150496	0.529004196
P602	3.167303103	4.126040428	2.25673567	5.857322207	6.554600355	4.856971597	6.359760658	6.233894723	5.144732284
P603	1.621161496	4.810675122	2.001373141	4.23491618	4.787637655	2.250092217	3.123036649	2.947181436	3.504561376
P604	3.497295147	4.984277976	4.57463851	4.577874603	4.738898757	4.983585393	4.075467464	4.434600769	3.401978521
P605	104.4709626	388.7964064	80.95495683	62.15050587	65.13250444	64.24382147	32.52729993	47.95943606	45.95057546
P606	2.119172633	2.141313251	1.775616353	2.216232184	2.835381883	2.336130579	3.151234106	2.733568682	2.295892837
P607	16.2513922	19.24904215	14.7100801	17.79262979	15.78685613	18.73570638	16.00074794	18.3718211	17.37980677
P608	2.642163882	4.483287092	2.053053157	2.340964478	3.387992895	3.562430837	2.769409125	3.089964698	3.950690943
P609	0.936913286	3.218919276	3.216269635	1.235654678	2.023161634	1.963297676	1.555272999	1.240617903	1.528234343
P610	0.628329356	0.593314837	0.682367627	0.922162322	1.072184725	0.861757654	1.140762902	0.542418996	0.658474152
P611	1.241209228	1.530241776	1.314802871	1.524776604	2.305648313	1.750368868	1.42565445	1.319609651	1.817641172
P612	1.299840891	2.898929845	1.205659003	2.401816705	1.735275311	2.216064183	1.948242334	2.375373822	2.461026213
P613	0.99363564	1.124455014	1.124539686	1.79661768	2.604049734	1.801549244	1.496409873	1.940997909	2.024134878
P614	4.705648369	3.19408112	1.685883699	5.18233513	6.328241563	5.6484692	2.638593867	2.050030355	2.06281997
P615	1.946062053	2.370749108	1.783959222	2.174211653	3.127815275	2.806897824	2.923784592	2.768196434	1.896262366
P616	3.98353222	5.190910292	3.419119942	4.040100436	5.260959147	5.271486536	6.644652206	6.851348009	7.497979137
P617	0.191949085	0.371145462	0.247893478	0.337929252	0.356319716	0.241691258	0.240628272	0.350842084	0.381500443
P618	19.98886237	15.58065795	15.46135442	17.30005169	19.24404973	19.13408336	11.64248317	17.73233198	20.00269448
P619	1.675656325	2.110397675	0.99939665	2.103758954	1.651012433	1.547583917	1.646148093	1.735052729	1.722737596
P620	7.512410501	7.224468226	5.960262145	7.528247544	6.802415631	6.611305791	6.522064323	6.538573966	8.50475384
P621	14.43993636	13.7838552	13.60719859	18.2800384	15.32930728	17.34599779	15.94988781	15.94855305	19.27133454
P622	1.280668258	1.780710794	2.46125039	3.870541319	3.609662522	2.85687938	2.869334331	2.62249005	3.277839794
P623	6.488703262	5.75980975	4.645376053	6.834428772	6.631474245	6.568240502	5.551009723	7.065860185	7.505292736
P624	1.855210819	5.744748315	1.198002705	4.151835167	3.784724689	1.562430837	3.339042633	2.412250129	2.6365526
P625	4.63150358	4.096710266	5.351711224	6.942987962	4.835381883	6.028771671	6.507404637	5.468711353	6.648831749
P626	10.70246619	11.13700621	10.86383023	8.212096596	13.5201421	9.833087422	10.22064323	8.914172644	10.0475384
P627	3.209864757	2.715550271	4.537813378	7.977992763	10.37030195	7.308465511	7.411593119	6.547118476	5.841641326
P628	24.72633254	41.36609856	20.08405285	19.24377816	26.38579041	26.82405017	21.84891548	24.1269984	25.42823049
P629	0.906125696	1.298269256	1.000790596	1.58954287	1.459182948	1.671707857	1.417801047	1.529467317	1.186554525
P630	1.455529037	1.474065266	2.379278061	2.018683997	2.985719361	2.590741424	2.186237846	3.401164752	2.911389969
P631	3.485759745	4.059188796	3.66378862	4.459197991	3.758721137	3.261895979	4.164248317	3.066354867	3.716463297
P632	151.5672235	139.593077	136.9853324	197.7623514	245.3285968	217.1154556	245.7442034	184.5861534	196.5048693
P633	1.751869531	1.99519091	1.669135546	1.867956576	1.406465364	1.597196606	0.933358265	1.430103658	1.329727857
P634	5.457677009	4.676707623	4.913762613	8.499372277	10.32895204	7.64874585	8.780852655	8.985226992	9.560029254
P635	0.353229912	0.437917823	0.552439405	0.351938557	0.491168739	0.324953892	0.223904263	0.325365952	0.287405212
P636	0.52043755	0.500462412	0.872277125	1.146665682	1.538614565	1.049612689	1.056544503	1.220898073	1.196793564
P637	50.70485282	43.32144273	45.1721627	46.59330921	75.98721137	67.06012541	62.20718025	54.77480719	68.43411987
P638	0.09043755	0.133724402	0.199621346	0.076308988	0.116832682	0.088398193	0.167830965	0.155584287	0.121334539
P639	0.195163087	0.526040428	0.28600853	0.451879477	0.958522202	0.536499447	0.317112939	0.333708093	0.316101467
P640	0.893476531	0.956533228	0.99213565	1.392142382	1.165626998	0.877416083	1.229693343	0.549299575	0.342045498
P641	1.802147971	2.191518034	2.318735046	2.433276715	1.505932504	2.480726669	2.276813762	2.039529602	1.264251896
P642	0.64867144	0.590434668	0.890710496	0.378502326	0.533385435	0.533649945	0.495415108	0.480763609	0.576792794
P643	0.304105012	0.385836967	0.310662644	0.144346799	0.269726465	0.132063814	0.492453254	0.115775864	0.225201124
P644	85.4494829	61.54049412	69.94694684	76.56746178	71.65754885	97.3902619	67.3171279	67.65453196	70.34720351
P645	36.3929992	30.29990752	24.64371164	26.50838195	27.03090586	32.20951678	22.88332087	19.92242484	16.1018515
P646	3.089896579	3.593077025	4.058878602	2.378037073	2.66401421	2.881593508	3.280628272	2.406403886	2.651179799
P647	0.443245823	1.274646585	1.564381567	0.249833838	0.370017762	0.212956474	0.253388182	1.41775909	1.567131144
P648	26.35163087	19.4559387	17.04670758	35.45085297	28.84120782	32.69273331	27.04113687	25.47388303	35.10720197
P649	10.13683373	12.97635091	19.95859773	7.306550476	9.772078153	10.32552564	7.8578908	11.54835518	10.84414335
P650	4.001113763	4.07742106	7.570997607	3.041355882	5.861598579	3.073681298	7.614809274	7.208643447	7.587089572
P651	2845.982498	4945.435328	4692.395714	2643.822465	3303.730018	3024.529694	2907.928197	3500.101185	3448.747065
P652	1.372712808	1.539225789	1.318651826	1.730152869	1.804760213	1.553393582	1.689379207	1.179119915	1.163035529
P653	4.843914081	3.871845686	3.629252055	10.07828078	7.986500888	9.661563999	6.781824981	6.107975626	5.651680203
P654	1.7283214	1.851420267	1.651201498	1.151392069	1.164674956	1.296292881	0.925504862	1.451060194	1.480580469
P655	2.868257757	2.74752279	3.712680745	3.904069123	4.679218472	4.1621173	3.866866118	4.450565512	4.055390893
P656	0.554669849	0.457207029	0.512951212	0.818772616	0.735261101	0.904979712	0.561338818	0.555955299	0.562069364
P657	6.134208433	5.83168186	6.670758348	6.212022746	4.83651865	5.941073405	5.174943904	5.608571493	5.848569999
P658	14.09069212	11.39569296	11.91553105	12.12687394	15.39182948	14.43471044	14.49887809	15.94203224	16.14842758
P659	0.451288783	0.589060642	0.879725372	0.587098442	1.198763766	0.580320915	0.382662678	0.599374902	0.430828746
P660	57.10023866	47.85044259	46.90939353	59.83088398	33.74067496	53.33364072	49.04861631	48.85885818	45.38665845
P661	3.793078759	3.075439292	3.570165401	3.205671664	2.637015986	3.088712652	2.96671653	3.30065433	3.573463182
P662	1.189180589	1.876337693	2.522833663	1.040986633	1.036490231	1.312984139	1.666791324	1.437996088	1.289541553
P663	20.11694511	19.97146254	19.09747217	23.02119489	22.7964476	24.50479528	24.44053852	21.28235109	20.46845529
P664	5.922991249	7.408904743	8.983043795	6.688058489	6.038792185	6.812799705	7.118623785	8.454343085	8.10616267
P665	14.09069212	12.18311534	12.7616769	12.19038476	12.72909414	17.83751383	12.04113687	13.40363816	14.23130221
P666	0.383699284	0.292588189	0.404764382	0.437774167	0.623175844	0.326604574	0.317808527	0.440941695	0.508757073
P667	18.53301512	22.13343903	21.71226464	11.228122	21.91403197	11.76595352	21.30441286	26.36880804	26.81396513
P668	1.193794749	0.800290659	1.008738167	2.159884794	2.11410302	2.50414976	2.089678384	0.719087986	0.873821163
P669	0.181988862	0.076131589	0.05076459	0.399800606	0.04256341	0.308908152	0.239326851	0.066773098	0.107207745
P670	0.023472554	0.076475096	0.070084261	0.051149103	0.035290941	0.065485983	0.089087509	0.036440087	0.01712537
P671	0.054961018	0.118189985	0.112961614	0.125788347	0.102998224	0.11484692	0.046178758	0.052045061	0.086739289
P672	0.183611774	0.149536266	0.27036305	0.093959087	0.082689876	0.092594983	0.121735228	0.159928496	0.1308095
P673	0.061575179	0.041004096	0.042696349	0.017839155	0.034321847	0.018839911	0.042997008	0.096541722	0.104153355
P674	0.70494829	0.911718853	0.797212109	0.460527287	0.892831261	0.542364441	0.518369484	0.604501608	0.618480311
P675	0.218902148	0.044367816	0.183834391	0.090436452	0.112926465	0.142456658	0.063065819	0.088907877	0.04263636
P676	6.056324582	13.1029198	2.797669822	11.76870246	13.69875666	6.757746219	6.249813014	5.145144245	7.453135225
P677	1.421638823	0.903606817	0.85213773	1.430248874	0.932049734	1.72713021	1.226327599	0.91055247	1.104276531
P678	0.278241846	0.54633373	0.492770207	1.011372868	0.712142096	1.057082257	3.101869858	3.091088975	2.171946572
P679	3.33929992	4.224336108	4.729428898	4.296654605	3.822664298	3.816672814	5.091997008	4.905897961	3.63947804
P680	11.32140016	11.58594266	9.414126703	8.951332989	13.6417762	11.30118038	10.56245325	12.28992872	11.75256938
P681	26.56245028	26.80935394	25.14303547	19.73266376	19.7669627	14.51586131	21.47943156	19.98358555	23.89429924
P682	4.885521082	2.729554763	3.963799022	4.853260468	3.619182948	3.802010328	3.574046372	4.0577429	4.7268948
P683	0.554622116	0.552305456	0.526266514	0.814267779	0.341186501	0.521311324	0.48104712	0.426573427	0.394318488
P684	20.49323787	7.524639979	10.13502549	22.74351968	34.36305506	18.76060494	27.10172027	25.05340319	43.51784133
P685	17.14319809	21.55053508	22.3447415	23.25456022	23.57087034	28.79288086	20.36948392	25.61329346	32.62250279
P686	1.191964996	1.800951249	0.62604806	0.856583709	0.292802842	0.253430468	0.238937921	0.321700807	0.312771854
P687	4.78655529	6.121548421	5.530219494	5.305811978	7.780461812	8.080413132	5.650635752	5.442628111	6.725239617
P688	0.250055688	0.188706566	0.142710912	0.399084263	0.534152753	0.749262265	0.477382199	0.276010163	0.226182686
P689	0.399140811	1.481411019	0.670050973	0.670711173	0.946515098	0.884968646	0.599880329	0.70541677	0.690827207
P690	1.456324582	1.723926542	1.506293561	1.551436378	1.66294849	1.752213205	1.227075542	1.507049221	2.049155087
P691	0.192728719	0.215917558	0.192533028	0.089919504	0.148106572	0.129066765	0.158631264	0.220608009	0.169898764
P692	6.155608592	7.708283789	13.31759076	10.32346208	12.30110124	9.324050166	13.62378459	12.43473568	17.19889141
P693	1.298806683	2.062042542	1.81233746	1.463555129	1.302451155	1.312154187	1.80329095	1.657117802	1.637822857
P694	1.636754177	3.422380764	0.502028503	2.195923492	0.71549556	0.965971966	1.505160808	0.91399276	1.025770815
P695	0.491996818	0.155267539	0.201691459	0.415656155	0.180618117	0.541147178	0.210157068	0.224347357	0.285769275
P696	2.389260143	1.890474303	1.613356913	2.296211506	2.25321492	2.400774622	2.237696335	1.984080228	2.434658763
P697	1.795465394	2.119117453	1.728721523	1.559707555	1.316618117	1.642659535	1.872400898	1.915094552	1.991416144
P698	12.2442323	10.22644999	12.97617809	10.8064397	13.96149201	16.69955736	14.31563201	12.0165044	15.27907156
P699	1.376610979	1.885585943	2.47165297	2.251236984	2.084689165	2.038731096	1.250336574	1.536168012	1.553754956
P700	3.817024662	6.292508918	3.671902632	4.935602984	2.892788632	6.106510513	8.867614061	7.822049333	3.923746103
P701	10.7239459	10.05575373	10.46603558	14.8068828	12.14877442	16.14533383	16.82872102	16.8266139	20.083529
P702	11.26412092	9.327784384	9.098928534	10.99771066	8.242415631	12.01125046	11.17352281	13.08569244	11.06643828
P703	3.213285601	3.74078478	2.638718402	2.70888413	3.582095915	3.704260421	3.385714286	3.508870551	4.06443666
P704	213.2060461	243.4535606	225.673567	143.4901411	195.5097691	176.097381	164.4951384	195.6243114	165.3123677
P705	21.82736675	22.32738803	30.42754603	31.09297689	22.45825933	31.24216156	26.47868362	27.20976772	21.03429693
P706	0.160898966	0.235167129	0.408613336	0.270519164	0.435097691	0.610051641	0.295063575	0.464708925	0.353458563
P707	0.154168656	0.099804466	0.208571726	0.084284765	0.131764121	0.117493545	0.174390426	0.192327929	0.192211017
P708	1.787350835	2.633267274	2.70883179	1.137803707	2.824298401	1.645333825	1.77973074	2.048343939	2.107856346
P709	1.734844869	1.979019686	1.268761053	2.22118012	1.123026643	2.715787532	2.098429319	2.180199222	1.601716771
P710	1.320047733	0.974025631	0.968147301	0.800310169	0.444603908	0.963205459	0.596080778	0.891102467	1.078447977
P711	5.128241846	3.264632052	5.200249662	3.785761761	3.963197158	5.182497233	5.56724009	4.687563241	6.909041918
P712	5.754415274	5.429515127	6.980339124	5.89823499	4.577193606	6.274068609	6.148466717	5.462190543	5.553139074
P713	3.667541766	5.155238473	4.94850723	3.17901189	3.690657194	4.544817411	2.976589379	3.159669912	3.329227453
P714	2.415115354	3.053243493	2.532195985	1.358983827	2.359360568	1.399575802	1.844353029	1.600836463	1.570018092
P715	2.897931583	2.797727573	2.969936544	3.557122812	2.113676732	2.655662117	3.447569185	4.209295528	3.328842527
P716	0.302991249	0.391333069	0.426588994	0.385783916	0.744	0.500387311	0.506245325	0.562655994	0.725855499
P717	1.075497216	1.243176113	1.074981795	1.072963592	0.656866785	1.388694209	0.932535527	0.76599285	1.246352823
P718	0.054454256	0.055330955	0.066520337	0.005726387	0.06708206	0.021164699	0.067684368	0.029953005	0.09592748
P719	0.158082737	0.267697186	0.320170602	0.138202496	0.482046181	0.180191811	0.384644727	0.268612417	0.326263521
P720	0.290994431	0.289021007	0.544450224	0.350409866	0.360966252	0.329214312	0.402311144	0.350887055	0.500250202
P721	0.562752586	0.606473775	0.489836679	0.627184108	0.445769094	0.234728882	0.661772625	0.606435365	0.510585473
P722	0.903341289	0.77505615	0.543014668	0.380075327	0.441165187	0.452517521	0.602602842	0.352101275	0.551387659
P723	2.229992045	2.254961025	2.587121606	1.91942988	2.477584369	2.477591295	2.219670905	2.61192184	2.475845876
P724	0.286658711	0.799947153	0.885571622	0.486300864	0.608085258	0.473376983	0.730037397	0.710835788	0.558778244
P725	0.317048528	0.279244286	0.374347238	0.30189794	0.287346359	0.472768351	0.398257292	0.346300002	0.434447053
P726	3.473587908	3.080724006	2.978050557	4.502769367	3.002486679	4.866469937	5.101271503	5.888516628	4.312136726
P727	0.407271281	0.246177831	0.247872672	0.532028654	0.445939609	0.789524161	1.182872102	1.373350123	1.7472574
P728	21.11296738	18.2872242	16.24841361	30.53245698	21.23623446	24.46053117	28.54674645	30.00022486	28.08422187
P729	6.684486874	8.231470472	10.93956101	8.106491396	11.75673179	10.742346	11.02916978	13.28603872	12.26413642
P730	0.443906126	0.096765755	0.439550609	0.198737169	0.43268206	0.54208779	0.395991025	0.622422593	0.500596636
P731	108.814638	209.9167658	119.3571206	99.88184034	214.749556	138.3806713	145.9685864	90.64376138	784.8262058
P732	2.470723946	2.104003171	1.716987413	1.888486818	2.70053286	2.207764662	1.634779357	1.304229533	1.132318411
P733	29.55131265	43.7283657	32.68490586	14.12303375	33.05435169	16.18037624	13.73223635	12.44035707	11.55606451
P734	3.704534606	5.918086934	11.53500468	11.25692342	2.802841918	2.52969384	6.497980553	6.060306253	3.578467224
P735	4.256722355	3.38697318	4.933943618	4.664057307	5.256980462	6.135189967	4.937397158	4.428079959	4.594480157
P736	0.202052506	0.094569956	0.088401123	0.14727125	0.405626998	0.330145703	0.329543755	0.239088885	0.212248354
P737	0.290413683	0.145694279	0.352439405	2.243925855	0.417222025	1.580874216	1.515407629	0.848694714	0.997959891
P738	9.241050119	6.883604175	7.538333507	3.686876892	6.268987567	5.888601992	3.07262528	4.462033144	3.85503676
P739	2.223150358	6.461619765	2.114220327	1.61767964	3.662806394	2.044448543	2.258638743	3.87313651	3.076138419
P740	0.018718377	0.132527414	0.100332883	0.183642272	0.103218472	0.162052748	0.10961107	0.160924606	0.160160129
P741	0.974144789	1.271105826	0.930073858	1.133594269	0.437158082	1.777757285	1.356020942	1.226496976	0.497497979
P742	0.758536197	1.056757828	0.938021429	1.102281958	1.062493783	1.050073774	0.678257292	1.147617656	0.595577197
P743	5.216547335	5.079402827	18.3451576	9.468281515	3.068277087	2.866654371	9.369483919	10.2052931	4.553677971
P744	1.890214797	1.69570617	1.496140643	2.098811018	1.617335702	2.111490225	2.114285714	2.024756594	1.950998884
P745	0.092529833	0.09214163	0.088476022	0.081478473	0.120706217	0.121053117	0.113889304	0.116580847	0.135819316
P746	0.471288783	0.475042938	0.232955373	0.323151909	0.616156306	0.268812246	0.608563949	1.007712545	0.35159167
P747	0.189928401	0.047596776	0.139608863	0.164109002	0.245001776	0.144024345	0.26526552	0.234479347	0.180384156
P748	0.646841687	1.684793236	1.012878394	2.821505059	1.270465364	2.160826263	2.612490651	2.401906775	1.406251203
P749	6.410501193	7.454089047	9.82544471	4.786943357	5.013854352	4.21080782	5.606282723	5.206080094	6.792986643
P750	0.879156722	0.53293698	1.390783314	1.75075696	1.835310835	1.842677979	1.600149589	1.574011198	1.757419454
P751	1.343198091	0.785017836	0.485009882	0.253873421	0.640937833	2.213297676	1.66828721	1.615519529	1.837099196
P752	21.150358	19.22605364	20.40424425	16.07488369	19.63055062	20.0829952	15.07255049	21.57398871	17.99665114
P753	4.97716786	6.981371383	6.9967752	5.296654605	5.681989343	6.391368499	5.379805535	5.265666809	5.55410139
P754	0.648186158	0.549504558	0.295287631	0.151214829	0.154571936	0.254620066	0.388900524	0.251388483	0.389275954
P755	1.024980111	1.093407319	1.574409654	1.49479359	1.64348135	1.537071191	1.2644727	1.713241742	2.400592786
P756	0.242498011	0.352543269	0.104283782	0.738040027	0.200483126	0.871228329	0.522169035	0.340633643	0.470437661
P757	0.190397772	0.327625842	0.307313014	0.069562809	0.108953464	0.051378643	0.120029918	0.120178535	0.19211286
P758	77.26173429	113.1536531	119.8647665	85.28173695	80.29698046	71.68203615	85.11593119	83.01441324	85.62492783
P759	2.802784407	1.523292377	2.429834599	2.283213943	1.752042629	1.434064921	2.121241586	2.402806197	2.32303014
P760	0.524025457	0.335949267	0.272443566	0.237109519	0.280269982	0.149326817	0.332617801	0.218647269	0.361695985
P761	45.73031026	39.72255252	42.36970769	40.80053172	41.89698046	47.66875692	46.10620793	53.52685899	49.04345818
P762	239.5385839	363.0070022	438.6767918	288.2209586	350.2522202	346.9199557	293.1264024	326.5576867	335.0205936
P763	1.069132856	0.155862069	0.671548944	0.734798021	0.434657194	0.467973073	0.489035153	0.496278641	0.316871319
P764	0.070455052	0.050474303	0.066025174	0.0895281	0.059465719	0.090704537	0.064727001	0.073381602	0.073713384
P765	72.1734288	71.18509711	79.45906585	72.01536076	49.0259325	55.51918111	67.42707554	62.4761091	88.07498364
P766	0.802386635	1.08719778	0.55181525	0.43685843	0.569534636	0.903919218	0.933433059	0.988082657	0.808787867
P767	7.933253779	9.579336768	8.097576199	4.999704601	10.50898757	8.395702693	6.342782349	6.335754278	6.943107895
P768	1.039697693	0.879191439	0.778362634	0.5350048	0.485030195	0.417170786	0.357090501	0.744968858	0.63201047
P769	452.3070804	631.8668252	653.677312	576.7890112	770.7708703	888.4821099	552.6477188	726.9804151	782.7476038
P770	3.255688146	3.265160523	4.002704671	3.83147478	5.085754885	3.708871265	3.754375467	3.863467722	4.284037107
P771	0.900318218	0.285453825	1.047935088	0.97902666	1.173641208	1.156030985	0.803440539	1.585816113	0.247757804
P772	0.649355609	0.481728101	0.410943514	0.151598848	0.47549556	0.237089635	0.391077038	0.297933578	0.214172986
P773	19.49244232	26.96261065	25.33444294	17.93368289	18.19253996	22.56731833	20.31637996	19.40952938	9.631433081
P774	3.21964996	3.548421192	3.693956101	2.809910642	2.808525755	3.361121357	3.543081526	3.529557259	3.755533315
P775	0.208424821	0.30466376	0.217996463	0.137020899	0.420589698	0.205265585	0.1989454	0.075475007	0.078369067
P776	0.803341289	0.7884529	1.054259856	1.043349826	1.204944938	1.314275175	1.037546746	1.122051582	0.792678702
P777	0.206229117	0.184750958	0.186068865	0.264574256	0.212433393	0.211665437	0.373410621	0.353810177	0.375784287
P778	0.263198091	0.298533492	0.269281182	0.232449598	0.208923623	0.259950203	0.205175767	0.28032739	0.065699219
P779	0.495354018	0.74263443	0.764007074	0.847057086	0.80940675	0.822998893	0.837397158	0.804038405	1.008141191
P780	2.79840891	2.197384067	1.775824404	3.070452699	3.224582593	2.961914423	2.734106208	2.082566951	1.887370569
P781	0.132378679	0.226021932	0.220451472	0.189579795	0.132822735	0.234129473	0.148646223	0.147646887	0.197351707
P782	0.407486078	0.255669177	0.333610735	0.116579278	0.254124334	0.295278495	0.232094241	0.146353968	0.371338389
P783	0.356054097	0.164756243	0.319504837	0.396935234	0.176312611	0.319135006	0.36079282	0.290985542	0.249201278
P784	0.220620525	0.218443652	0.175433267	0.166974374	0.30887389	0.14738104	0.229820494	0.276954557	0.355094499
P785	3.154733492	2.254247589	2.921668574	2.703640795	3.41285968	3.59470675	3.149065071	2.292177276	3.04553678
P786	0.279482896	0.119257498	0.553729325	0.578044458	0.409861456	0.752167097	0.627711294	0.119670362	0.492667154
P787	3.132776452	2.511718853	1.863497347	3.221327819	3.900106572	3.336868314	3.459985041	3.554066512	4.132568613
P788	0.313309467	0.454194742	0.398834911	0.307126505	0.338984014	0.384719661	0.423575168	0.438243429	0.547211209
P789	6.757915672	8.690183644	8.528659107	5.674248578	8.820888099	5.921154556	9.498878085	7.032131855	10.19284807
P790	0.062440732	0.074834192	0.073180069	0.142131305	0.145705151	0.153236813	0.12433807	0.122150518	0.102582855
P791	9.096260939	7.453032105	7.999791948	7.942544864	7.975133215	9.010236075	8.472700075	8.970611382	8.207590746
P792	0.092792363	0.09705113	0.104697805	0.118757847	0.118917229	0.111960531	0.087464473	0.065783734	0.112567843
P793	0.161654733	0.050532435	0.05104754	0.125094158	0.123447247	0.146145334	0.131660434	0.511006678	0.260537357
P794	0.450445505	0.378042013	0.550088422	0.880215641	0.746046181	0.68367761	1.03328347	0.660468149	0.868740136
P795	14.32696897	12.58343242	16.26235306	16.96772764	20.48170515	18.11139801	15.54973822	15.76372181	19.24419724
P796	0.281288783	0.245422117	0.314490794	0.239332398	0.21669627	0.445269273	0.434016455	0.234434376	0.272335348
P797	11.85759745	11.39490025	12.59377926	9.766634665	12.90984014	12.45020288	11.92595363	13.20621501	10.87397513
P798	0.652346858	0.52368873	0.757515864	0.706587401	0.878209591	0.789865363	1.177786088	1.233624896	1.210766388
P799	0.719395386	0.48230942	0.832747321	2.260615907	2.181740675	3.928531907	1.415706806	1.198479977	0.667038762
P800	8.220365951	7.222618576	8.776656611	4.978288162	6.324120782	7.745296938	7.608077786	7.006498325	6.314908195
P801	0.415815434	0.246640243	0.687568917	0.416682667	0.61042984	0.396753965	0.559805535	0.600589121	0.336002156
P802	0.402020684	1.234007134	1.556600437	0.250048002	0.281790409	0.302443748	0.563724757	0.23133137	0.208533816
P803	1.483134447	1.438499141	0.534588578	1.519016321	2.273960924	3.05818886	0.800373972	1.678479077	1.622868471
P804	18.58790772	17.02893381	20.55508166	13.18071043	9.682273535	21.0392844	12.13014211	11.22388865	10.82566688
P805	0.225910899	0.282758621	0.284760221	0.368008271	0.417634103	0.324280708	0.328309648	0.269691723	0.25164556
P806	0.645616547	0.444999339	0.852387392	0.398257145	0.297676732	0.372602361	0.859461481	0.517797315	0.368297471
P807	0.185855211	0.149499273	0.138649745	0.102171184	0.12635595	0.117041682	0.138249813	0.190362692	0.188627353
P808	5.139140811	4.620953891	5.29512119	6.292445167	5.489165187	6.178900775	6.581899776	5.921345535	10.35836637
P809	1.034844869	0.74863258	0.748985748	1.004504837	1.125470693	1.375046108	1.039416604	1.094439323	0.664402017
P810	0.394566428	0.258483287	0.318027671	0.307266819	0.281094139	0.313574327	0.211114435	0.317923234	0.350398399
P811	0.075000796	0.089689523	0.074132945	0.077756443	0.123685968	0.29880118	0.107681376	0.159741866	0.264521344
P812	3.324900557	2.444761527	2.885467596	4.183516727	3.032468917	3.092401328	3.934779357	2.622714906	3.437584203
P813	2.481702466	3.69718589	5.228960782	6.628978657	7.063019538	4.812154187	5.670381451	4.769185798	5.269833327
P814	1.165473349	1.546228035	1.116488089	1.815597076	2.625222025	2.499077831	1.789304413	2.17869269	2.233149852
P815	27.62052506	0.144317611	0.122787891	0.120493317	0.15408881	0.12309111	16.13986537	13.97252265	16.61053158
P816	2.258472554	2.202853746	2.088421929	2.265859242	2.205328597	2.102084102	2.089304413	1.752726373	2.128064976
P817	0.195441527	0.072873563	0.066859461	0.244871132	0.299296625	0.525359646	0.173066567	0.137690284	0.152367297
P818	1.397454256	1.148843969	14.35680849	4.457942545	0.848511545	2.097012173	14.47270007	3.2649023	3.048231264
P819	6.104614161	5.147311402	6.279621346	5.413189572	5.764973357	6.110383622	7.295362752	7.370764284	6.174217637
P820	0.499872713	0.721178491	0.549277021	0.463739753	0.633264654	0.49175581	0.469985041	0.576776921	0.310366065
P821	1.344391408	0.70014533	0.61104754	1.134849716	1.57982238	2.203707119	1.04697083	1.444764239	0.600735209
P822	2.841129674	2.470154578	2.652449808	5.588361273	3.672326821	2.750368868	4.393044129	4.363546421	4.808691636
P823	0.288798727	0.039286564	0.314178716	0.828299239	0.467282416	0.91151789	0.415602094	0.556832235	0.427999538
P824	0.341933174	0.486061567	0.431020493	0.664537331	0.271246892	0.492124677	0.415871354	0.514491939	0.301204819
P825	1.38973747	0.214200026	0.427712473	0.824902149	0.969946714	0.948911841	1.293642483	1.425471634	0.603930097
P826	1.079634049	0.477262518	0.807614688	0.541924526	0.792369449	0.574031723	0.475280479	0.545252175	0.677354787
P827	1.357358791	0.714176245	0.493331946	1.092903035	0.843808171	0.662504611	1.139940165	0.298810514	0.543477424
P828	16.25457438	11.84093011	10.90190367	14.80392881	15.4401421	18.88509775	14.06507105	13.16034448	12.89272104
P829	1.185759745	1.210727969	1.235035889	1.1929695	0.800923623	0.953338252	1.246896036	1.047152205	1.217926017
P830	1.911694511	2.646056282	2.265889941	2.931688945	6.324689165	3.279140539	3.176514585	2.75582938	2.885599908
P831	0.207541766	0.150254987	0.052468532	0.20698619	0.205428064	0.175885282	0.04092745	0.231893508	0.026833211
P832	0.404216388	0.274673008	0.479454905	0.637294144	0.590209591	0.601300258	0.371069559	0.312009534	0.316062974
P833	1.198886237	0.887092086	0.809611984	0.666383576	0.636291297	0.619015124	1.01091997	0.81134621	1.361619
P834	2.031901352	1.658950984	1.616123999	1.812569234	1.717797513	2.443932128	1.486910995	1.546533852	1.364351977
P835	1.504216388	1.269150482	0.486070946	0.254190976	0.613868561	0.345527481	0.555848915	0.687495784	0.39493437
P836	0.320198886	0.723635883	0.805346926	0.547684809	0.534706927	0.474972335	0.94973822	0.89002316	0.914469379
P837	24.21002387	17.27890078	21.28367835	21.2997563	17.65399645	21.15639985	24.22662678	25.31198705	21.93502444
P838	0.026473349	0.017725723	0.02927494	0.014772173	0.024358082	0.014731649	0.026610322	0.030519641	0.03161977
P839	2.236356404	3.035275466	1.860459794	3.69477882	3.131367673	4.095628919	2.900598355	3.241067614	3.237422534
