	Sample1	Sample2	Sample3	Sample4
Gene457	5.516266101	18.28096207	5.554048815	8.359617875
Gene458	4.679340167	15.5415487	4.652522576	6.969580832
Gene459	-0.299492251	-0.61993332	-0.038535717	-0.990353295
Gene460	2.74208036	9.499725544	2.816867475	4.815548944
Gene461	2.536932322	8.647338837	2.613815288	5.782822311
Gene462	-1.235251014	-4.247555894	-1.381042202	-0.148371572
Gene463	3.895852842	12.8801805	3.850991592	5.890204264
Gene464	5.782399508	19.45643315	5.796651703	8.509552539
Gene465	1.664633021	5.680422328	1.608143448	2.463594623
Gene466	0.869749718	1.854711347	0.691591004	1.460597347
Gene467	-0.93535708	-2.625545648	-0.363348234	-1.179736444
Gene468	5.073891436	17.10792266	5.086490842	7.408551964
Gene469	1.421855047	3.564856167	1.607122385	1.478051295
Gene470	5.516210692	18.3553526	5.490285736	8.748019235
Gene471	2.821508149	9.600866786	2.895280122	3.147883973
Gene472	3.121883048	10.36624099	3.100007644	4.024667124
Gene473	5.911670426	19.81102338	5.873412786	9.144638259
Gene474	-0.051301998	0.053832109	-0.313479451	-0.062305456
Gene475	1.412233806	4.51480415	1.341820028	2.343252354
Gene476	1.215263689	3.643206517	1.259306716	2.127279633
Gene477	0.985136604	4.42739235	1.105786378	-0.450233154
Gene478	2.981954071	10.31107818	2.990504925	4.615304178
Gene479	5.106052369	17.0090395	5.154460365	7.143394986
Gene480	4.338649462	14.56124884	4.307071968	6.491288063
Gene481	3.151621681	9.910276797	3.093096604	4.623485865
Gene482	-0.358538973	-0.627716939	-0.264719085	1.000294439
Gene483	6.305488803	21.10531562	6.319660187	8.816956823
Gene484	1.573123346	5.493942968	1.619099823	1.551142932
Gene485	3.168284348	10.58590395	3.06252312	6.100567338
Gene486	1.905914296	6.786152548	2.03477935	3.596961758
Gene487	0.319064883	1.34505818	0.399843619	2.38396694
Gene488	5.822394019	19.88625007	5.877191983	8.85694715
Gene489	1.697798836	5.681680364	1.672150295	2.125651852
Gene490	2.12045644	6.882399229	2.030757541	3.134059403
Gene491	3.433983648	11.39262333	3.400338951	7.805844803
Gene492	3.343944934	11.4443714	3.411523392	5.28077157
Gene493	2.380981305	9.114176304	2.381790161	3.653012163
Gene494	0.531798071	2.100491609	0.56240635	1.397571692
Gene495	0.145470979	-1.90163886	-0.698269451	-1.736035575
Gene496	2.933945997	9.886135822	2.84885298	4.412972638
Gene497	3.319623136	10.94671958	3.271151271	2.665511608
Gene498	-0.156583541	-0.150138998	-0.19590104	-0.197767472
Gene499	5.043954847	17.16833424	5.115146097	7.610912003
Gene500	-0.583197388	-2.709920155	-0.773220379	0.637186504
Gene501	0.573270813	1.755994332	0.519814361	2.348307663
Gene502	2.721355623	9.71507066	2.927759969	6.892332715
Gene503	2.762645282	9.419003505	2.768690452	4.3943676
Gene504	-2.867603491	-11.85979358	-2.87879895	-3.630579428
Gene505	2.535131984	8.261365729	2.469679383	3.975594084
Gene506	0.557850368	3.179457958	0.021484798	1.147127098
Gene507	-1.676220523	-7.020722382	-2.27310076	-3.070708762
Gene508	-0.463871	-1.948130992	-0.578075578	-1.28736647
Gene509	2.68234883	8.533326287	2.58772896	4.042433411
Gene510	0.221466476	0.25595955	0.130339603	0.580315682
Gene511	7.608343563	25.59789009	7.630145702	11.31823495
Gene512	4.916180039	16.59621825	4.89276732	7.179775179
Gene513	1.198861096	4.152490405	1.23021663	2.115271799
Gene514	4.946696796	16.26484217	4.944246817	7.124766444
Gene515	0.415865399	3.106364673	0.588859031	1.32526589
Gene516	2.571958984	8.702169972	2.650189769	3.823908982
Gene517	-0.836697572	-4.938774018	-2.005040538	0.606962407
Gene518	1.204868115	3.760742495	1.136070428	1.58976511
Gene519	1.078316209	2.628258267	1.524995046	0.793231174
Gene520	4.552082409	15.23425978	4.57816532	6.112431964
Gene521	2.480134228	7.896475499	2.400601217	3.517897117
Gene522	5.726022571	19.16987904	5.601570968	8.619345162
Gene523	1.064486428	3.17697013	1.028212799	1.20148839
Gene524	4.402800023	14.51565735	4.290044614	6.907682645
Gene525	2.520090467	8.462685614	2.507305457	4.844064568
Gene526	1.787460011	6.025637683	1.386078733	1.793432467
Gene527	2.322585487	8.118059016	3.305669396	3.575332243
Gene528	2.678192784	8.85168137	2.669025473	2.486850902
Gene529	1.045727932	4.199256771	1.233723533	2.006079244
Gene530	4.823318368	15.93057205	4.694811091	1.599861091
Gene531	2.014976512	6.491579879	1.970665454	4.563088702
Gene532	2.575447555	7.737000688	2.537531341	3.666545947
Gene533	0.861457652	2.696711201	1.092596504	3.970841758
Gene534	2.298954323	7.429242926	2.277404311	3.481155698
Gene535	-1.032600374	-3.819374328	-0.734538837	-1.445321576
Gene536	2.165646166	7.388237207	2.158547011	2.718289438
Gene537	1.826566275	6.515106536	1.827537994	3.036930968
Gene538	2.704626864	9.023112547	2.721260353	3.745863429
Gene539	5.954756934	19.88222687	6.049138609	9.12256935
Gene540	-1.36001929	-6.199169929	-1.484596115	-1.158871157
Gene541	0.907321069	3.467881967	1.268205839	2.279513908
Gene542	-0.401065145	-1.051665643	-0.312836054	0.746167212
Gene543	1.521393742	5.211951938	1.526813331	2.890807055
Gene544	-1.553538881	-5.27333602	-1.500405801	0.242467718
Gene545	1.129752464	3.504659257	1.095964909	3.690324082
Gene546	-2.012356935	-7.763587177	-2.657624276	-3.8724796
Gene547	1.478752993	5.230820822	1.557091143	2.675887401
Gene548	-1.774599643	-5.900826559	-1.856938477	-1.859024688
Gene549	4.277967499	14.26535775	4.296417189	5.89741513
Gene550	1.924327508	6.609174526	1.909889445	4.440689683
Gene551	0.939392991	3.104003376	1.004951538	1.27373017
Gene552	2.500645425	8.441209148	2.709847468	4.50394902
Gene553	1.385253416	4.627015889	1.176323349	2.374898303
Gene554	3.298570788	11.20562356	3.297392557	4.765042634
Gene555	5.075700768	16.96018307	5.075448183	7.775098792
Gene556	4.637360614	15.72543503	4.685038988	7.449344626
Gene557	0.572338267	1.70330533	0.466597162	1.692205393
Gene558	5.230281759	17.28002956	5.197792974	7.186093077
Gene559	0.875622604	3.06249958	0.750728728	-0.03269319
Gene560	-1.517199163	-4.280697278	-1.594445478	-1.731939497
Gene561	0.610625564	1.91781132	0.456383746	0.703838335
Gene562	2.655020548	8.87170727	2.693718085	4.077706339
Gene563	-0.865945273	-2.763891831	-1.231783471	-2.111596642
Gene564	0.379292328	1.362260934	0.537222179	1.135588579
Gene565	1.854627472	5.756962543	1.719465486	2.188030634
Gene566	2.199210013	7.17795986	2.219406853	3.158490056
Gene567	2.910738283	9.829600749	2.935908498	4.669481871
Gene568	0.761478385	2.962398688	0.78736508	1.688086128
Gene569	0.764626577	3.260184901	0.870777608	-1.087578135
Gene570	2.597492816	8.466615274	2.591357661	3.002295575
Gene571	-0.160685416	-3.32150725	-0.250215542	-1.131983828
Gene572	-0.959488032	-3.021565647	-0.883500486	-3.421757425
Gene573	2.918360499	9.643035404	2.900108438	3.276522005
Gene574	-0.205394656	-2.108251225	-0.428089731	-0.686669395
Gene575	2.743854668	9.230982161	2.674985935	2.921622711
Gene576	1.049691204	2.575021822	0.834006712	-1.223671622
Gene577	0.991189767	2.729197897	0.820695652	0.669837339
Gene578	3.195227205	10.69128161	3.074611347	4.983431851
Gene579	2.924002263	9.55369926	2.750321575	4.131594487
Gene580	1.591164817	5.224286567	1.541437636	1.698246103
Gene581	-0.696957762	-0.984892237	-0.689351912	-0.467566691
Gene582	2.321071523	7.205996761	2.083545927	3.877837041
Gene583	3.239011283	10.91703884	3.252121201	4.569316726
Gene584	0.909543292	2.976398746	0.871761752	1.759994068
Gene585	-1.586187544	-7.425264689	-1.428258186	-1.285910784
Gene586	4.721335038	15.80084354	4.754303662	6.572440617
Gene587	1.972645326	6.795050741	1.977832903	2.48435777
Gene588	3.809396411	12.65382341	3.76397769	5.633057191
Gene589	3.507040087	11.73618248	3.488813285	5.483229298
Gene590	2.211843614	7.839555055	2.307499236	4.215423968
Gene591	2.363864464	8.467887781	2.379760022	3.828442419
Gene592	2.983350232	10.32547525	3.051832431	4.414504717
Gene593	-0.574127756	-2.039874518	-0.515068301	-0.741053988
Gene594	4.663814989	15.54633472	4.59875995	6.387954546
Gene595	3.080149615	10.30856798	3.091079278	4.764284828
Gene596	-0.007024948	1.097391881	0.259740401	0.102411543
Gene597	3.420377996	11.7230661	3.515935059	5.692149622
Gene598	-0.52924843	-1.518758989	-0.661343765	-2.187466837
Gene599	3.024286625	9.969875229	2.998159776	3.629470391
Gene600	1.385563745	4.759322262	1.507785879	1.31252808
Gene601	2.486815678	8.026167203	2.509262759	3.997111239
Gene602	-1.750827241	-10.14557367	-2.664843984	-3.187882974
Gene603	1.758797379	5.926693853	1.707051159	2.304022583
Gene604	0.168357052	1.297600067	0.309218025	0.305081112
Gene605	0.890664766	4.036675216	1.015940398	2.299991638
Gene606	5.066273671	16.81005734	5.008860972	6.921384341
Gene607	1.28755393	4.551256374	1.289807465	3.157074335
Gene608	-2.658701107	-9.561459854	-3.331136201	-2.309626864
Gene609	0.171635553	0.43019575	0.160883572	4.053918358
Gene610	2.354397076	7.629601749	2.275888946	2.660651063
Gene611	5.782951349	19.3053424	5.762288778	7.865700192
Gene612	4.30662567	14.67525492	4.406531512	7.048774725
Gene613	2.252949847	7.38848847	2.183599175	3.525775706
Gene614	0.957963428	3.646450789	0.785222222	3.084714351
Gene615	3.499158192	11.79926221	3.598883176	5.368561052
Gene616	2.391173057	8.316976267	2.439931281	3.48414829
Gene617	2.189443801	7.080577403	2.159014734	4.360523833
Gene618	1.931283326	6.72595075	2.039074201	2.905587572
Gene619	3.889107833	13.3675128	3.980169652	7.195400398
Gene620	1.306239022	4.242278183	1.183991144	1.518708177
Gene621	1.130197621	4.275174878	1.318601738	2.130266632
Gene622	-1.820415526	-5.102178942	-2.684061861	-0.057788434
Gene623	2.212281102	7.253637699	2.159120319	2.22226154
Gene624	-0.220552791	-1.737156542	-0.110339782	-1.118412554
Gene625	-0.901830142	-2.240229962	-0.917585197	-1.712307433
Gene626	3.460089064	11.12814395	3.546831452	4.051725909
Gene627	1.833374887	5.765068764	1.894758616	3.593177111
Gene628	-2.086866237	-7.171303361	-1.993175255	-2.925507591
Gene629	3.734924254	12.33766528	3.713320576	5.737873958
Gene630	-2.354133715	-7.216398169	-2.17348503	-4.690206166
Gene631	1.297316751	3.924655066	0.830994405	1.40000142
Gene632	3.036201433	10.14736724	3.194364826	5.64266813
Gene633	2.643523929	8.797463701	2.611419388	3.277359691
Gene634	-0.508733228	-1.011453795	0.382524109	0.890787806
Gene635	1.25040575	4.01669899	1.070398477	0.98455315
Gene636	-0.777406314	-3.034947267	-1.159365956	-1.868207881
Gene637	4.604053368	15.26680586	4.673658546	6.731053488
Gene638	0.060942326	-0.987495483	0.082711835	1.246215093
Gene639	2.268012364	7.672608305	2.317242786	3.798005557
Gene640	1.068376191	3.060475195	0.924191075	-0.53404257
Gene641	3.565111729	11.65976956	3.553885361	5.58190458
Gene642	2.369924815	7.183735757	2.435993976	2.879452208
Gene643	3.560931137	11.92078874	3.770020187	6.511477242
Gene644	1.164710199	4.500971387	1.339597615	1.574715028
Gene645	1.355821515	4.524547966	1.207820142	2.198298306
Gene646	-0.118665356	-0.272504386	-0.206896836	-0.694698115
Gene647	-0.773157734	-2.286600246	-1.319344633	1.690970801
Gene648	-1.946957995	-6.353714982	-1.423039083	-0.324206935
Gene649	-1.571154691	-4.926016972	-1.873220949	-0.193319899
Gene650	-0.026318962	0.999566421	0.413417307	0.368895839
Gene651	2.878415933	9.917343938	2.81067599	3.677301382
Gene652	2.079055622	6.908674296	2.029230155	2.598398333
Gene653	-0.409434778	-0.819486156	-0.589884802	-1.625856032
Gene654	0.805969316	2.359282901	0.634640426	1.003553185
Gene655	1.597990209	5.51304978	1.528033138	4.37316963
Gene656	3.759877626	12.29826994	3.714626745	2.89281438
Gene657	3.543274907	11.77832311	3.516556225	5.110221908
Gene658	0.826318501	2.178629666	0.862262711	3.125110881
Gene659	2.362671333	9.234161029	2.940614063	4.838664347
Gene660	-0.848120415	-2.755661111	-1.055781573	-3.048372383
Gene661	3.736075097	12.51879401	3.620697338	5.130784915
Gene662	4.307887922	14.37650008	4.304621872	6.248303254
Gene663	2.848452617	9.476707412	2.865214798	3.720647685
Gene664	-0.386275482	-1.044593458	-0.309162333	-0.434140148
Gene665	-1.108346983	-4.758315049	-1.160866707	-0.391437913
Gene666	4.018733067	13.01796387	3.876362178	5.841767214
Gene667	2.266556282	7.607041587	2.233227214	3.403468553
Gene668	3.303799624	10.95844939	3.336669024	4.735818943
Gene669	4.61526131	15.39576805	4.595163274	6.284777015
Gene670	-2.35731628	-8.652192897	-4.167926992	-8.152886989
Gene671	4.324500547	14.38470366	4.294190512	6.47373639
Gene672	1.761689062	5.69373341	1.618115801	2.831586887
Gene673	-0.358874315	-1.108468355	-0.188552955	-1.869280818
Gene674	-0.682292405	-1.73653545	-0.512709036	1.981810369
Gene675	-1.564677041	-4.450658357	-1.591938484	-1.361292947
Gene676	-1.080315265	-3.528901404	-1.26534688	-2.099328749
Gene677	1.136586002	3.945471209	0.911929946	1.607715165
Gene678	1.879443169	6.510335995	1.88730443	2.936898867
Gene679	0.96905742	2.607023424	0.925745561	1.104001217
Gene680	-1.524830618	-4.932288143	-2.100807881	-2.612836167
Gene681	0.068948774	0.574925382	0.066790847	-0.076091532
Gene682	0.414409663	0.915045837	0.344183657	0.341382649
Gene683	1.985575515	6.98293252	2.084391442	3.223586468
Gene684	1.274733487	4.249630985	1.387384856	2.248608151
Gene685	2.563810254	8.487206462	2.642685217	4.141845227
Gene686	-1.01655335	-4.962596011	-1.677969815	-3.704181478
Gene687	1.20721965	3.838899876	1.263858487	-1.873390325
Gene688	-0.037172322	-1.334717398	-0.013484118	1.519763355
Gene689	0.530582857	1.733319438	0.503678662	-0.042710855
Gene690	2.553184227	8.456490636	2.507678065	3.520591599
Gene691	-1.933815685	-8.77572444	-1.737873135	-3.042287744
Gene692	3.166020525	10.53076456	3.181425943	4.568971402
Gene693	1.560497533	5.314152569	1.614508078	3.369568484
Gene694	2.023774732	6.644978124	2.113606031	4.073147065
Gene695	2.73852227	8.883601139	2.748733677	4.599567267
Gene696	2.170391451	7.395766877	2.214410081	2.580888281
Gene697	-2.109567807	-6.369882656	-2.605253434	-0.112539809
Gene698	-0.46740531	-1.456085605	-0.754123038	0.272262224
Gene699	1.889387043	5.700160603	1.905778442	2.713240229
Gene700	0.871999308	3.642124392	1.075849542	0.857124098
Gene701	1.063392674	3.440728351	0.959697161	1.120609425
Gene702	-3.200348815	-10.60687396	-3.443215717	-5.001556956
Gene703	-2.945190273	-10.8793634	-3.308514742	-5.362628548
Gene704	-2.172845257	-8.306954931	-2.626018275	-2.073208145
Gene705	1.033792	2.557299803	0.873563506	1.671912028
Gene706	1.984723734	7.004823535	2.202118493	3.297808744
Gene707	4.278215953	14.30918923	4.276141852	6.857515191
Gene708	0.150486321	0.890498168	0.160772315	2.447272065
Gene709	-0.925503752	-1.578632931	-0.526019723	-4.318765013
Gene710	2.704811213	8.840323071	2.730587422	3.252438753
Gene711	2.876321854	9.745932773	2.896435273	6.730563132
Gene712	-1.382717916	-4.385065398	-1.862981807	0.889684459
Gene713	-0.103726603	-0.06476131	-0.127603539	-0.740696914
Gene714	1.89051127	6.471857712	1.812314486	2.744682736
Gene715	2.874378973	8.836094396	2.740840445	4.963852168
Gene716	1.539142951	5.273173659	1.347337565	3.251961016
Gene717	2.679517037	8.727721417	2.552969885	3.635772615
Gene718	2.258884068	7.709001925	2.295609205	3.120355729
Gene719	3.395189587	11.4137195	3.368403203	4.598213094
Gene720	3.205111594	10.51860482	3.140330339	3.28217242
Gene721	4.761142127	16.15068748	4.814660077	7.80873565
Gene722	-2.516340315	-7.796416913	-2.550805584	-3.854726788
Gene723	2.146307709	7.115555794	2.170592548	4.583578002
Gene724	-0.3198327	-1.059829918	-0.010851964	-0.028856563
Gene725	1.143461001	4.105193127	1.285661596	1.362623291
Gene726	3.697653276	12.62459942	3.837962274	5.884611657
Gene727	0.391943015	1.443082146	0.470767753	0.42259004
Gene728	4.964844706	16.78016445	4.938551987	6.489489315
Gene729	2.008414518	6.234932587	1.936903926	3.620170296
Gene730	4.024758967	13.35285266	4.028467963	5.932019187
Gene731	-2.448923148	-6.106023837	-2.15514153	-2.643093697
Gene732	-3.234436974	-8.619226474	-2.502244335	-4.142011452
Gene733	0.175955564	-0.822848482	-0.240362917	0.70735507
Gene734	3.222067727	10.68511932	3.146136934	4.412876832
Gene735	5.91211807	19.69859375	5.918795918	8.171900752
Gene736	1.307246202	4.352777119	1.354310008	1.709674285
Gene737	-1.891275928	-5.160861741	-2.122474295	-2.709809798
Gene738	-1.03395578	-3.592909168	-1.17629593	-1.202028698
Gene739	-0.092070202	0	-0.035769164	-1.996575641
Gene740	1.60836248	4.30192014	1.247329185	1.558163577
Gene741	-1.511310527	-3.479691749	-1.361885117	-0.871982332
Gene742	-0.562306539	-2.175845095	-0.615403881	-2.451720191
Gene743	4.134615198	13.93554821	4.151226838	5.88769734
Gene744	2.036442063	7.09042819	2.216505786	3.17112792
Gene745	1.763793305	5.944022826	1.879036143	2.83512945
Gene746	3.480111598	11.54609557	3.428916621	5.484402254
Gene747	0.971042376	2.652481054	0.737191512	2.031930953
Gene748	-1.333632255	-3.300219056	-1.164502847	-2.173327512
Gene749	-1.631141255	-6.440757038	-1.891850493	-4.803069766
Gene750	1.230596809	3.625539453	1.140215381	2.010743693
Gene751	1.213791055	1.277860384	0.483014956	0.593453736
Gene752	4.778000531	15.92685051	4.641318468	7.029243372
Gene753	-1.722116384	-5.549110434	-1.868723126	-4.722302591
Gene754	1.391373218	5.959333947	1.658210032	1.921003256
Gene755	4.49890283	15.02215705	4.492229775	6.412228528
Gene756	3.095482328	10.42939734	3.072556344	4.336723334
Gene757	2.859488416	9.633312003	2.883727699	3.838873812
Gene758	3.397497457	11.06653767	3.388675221	4.553261726
Gene759	2.932625865	9.705806177	2.969800801	4.43049776
Gene760	4.260089734	13.98098612	4.227112881	6.237129122
Gene761	1.320174463	4.01697534	1.262343531	2.20787125
Gene762	-1.286693983	-4.073759888	-1.474840501	-2.051379134
Gene763	-1.342509062	-4.648482501	-1.358575122	-1.978132783
Gene764	2.91895587	9.7622436	2.930134769	4.49753354
Gene765	4.258960472	14.26580467	4.32305219	6.236504312
Gene766	2.927770415	9.951059193	2.679657161	4.831723572
Gene767	3.843589059	13.08714189	3.825245618	6.083080357
Gene768	1.335695637	4.147843903	1.360966166	2.132108576
Gene769	1.725418715	5.771360001	1.653669785	2.116778046
Gene770	3.98513043	12.90101269	3.93877584	5.53285608
Gene771	2.60609524	8.36463281	2.412308277	3.452660557
Gene772	3.36683385	10.97596708	3.25318237	5.152591907
Gene773	4.059933489	13.44860212	4.047841762	5.874123238
Gene774	-1.030281083	-4.79775409	-1.249951	-1.098717452
Gene775	0.761928734	2.782248344	0.668153983	2.209287366
Gene776	1.40742198	4.649720576	1.380508601	1.699825574
Gene777	3.433049713	11.62710124	3.350739793	4.817744924
Gene778	-0.720301205	-2.693638965	-1.32931745	0.305969824
Gene779	-0.408936843	-0.876752242	-0.211196878	-2.309711542
Gene780	4.783042345	16.41535597	4.752297982	6.890772518
Gene781	3.266242337	10.76088436	3.280335613	5.020499525
Gene782	3.607143222	12.08085978	3.586836787	5.268256663
Gene783	2.974099342	10.03888036	2.9196855	3.976106949
Gene784	2.789846753	9.388531809	2.566428848	3.096212915
Gene785	2.77182363	9.202235085	2.643521843	2.822320278
Gene786	0.307793895	1.90247367	0.606683277	0.396610578
Gene787	-2.684631561	-4.793866808	-1.555192583	2.25168707
Gene788	-0.415053705	-1.386521673	-1.064267866	2.39106457
Gene789	-1.364000358	-3.998551271	-1.165214903	-2.403445641
Gene790	-1.674380734	-4.951172787	-1.993079363	-2.598497791
Gene791	1.932640774	6.8682733	1.985110903	2.554134643
Gene792	1.341513073	5.466507238	1.511309145	3.007463898
Gene793	2.139096217	6.938369341	2.119821776	2.312479677
Gene794	-0.8631973	-1.507868817	-0.834668172	-1.058099907
Gene795	-0.882693539	-4.560939274	-1.179903667	-1.717490949
Gene796	0.792398233	2.506388466	0.771180588	0.601014112
Gene797	1.131176269	3.798575326	1.073708405	1.165689923
Gene798	-2.386349623	-7.880179485	-2.270326095	-2.260152609
Gene799	0.867668672	3.249243686	0.809417663	0.920275469
Gene800	-0.057427569	-1.480438576	-0.312907522	0.113075114
Gene801	5.976008375	20.09125947	5.974378112	7.594000115
Gene802	-0.337848446	0.07900754	-0.101869034	-0.962052869
Gene803	3.797321976	13.02121133	3.805702335	5.125015104
Gene804	3.715926041	12.03953438	3.54456969	5.861629219
Gene805	-0.423352334	-1.587158181	-0.413105716	-0.652899525
Gene806	-0.214318507	-0.297969548	-0.086008102	0.428469451
Gene807	3.137969186	10.62742883	3.139934489	4.921658416
Gene808	3.710917374	12.51166989	3.685915403	5.389141372
Gene809	3.582696383	11.73768211	3.420834566	3.907919351
Gene810	4.234567335	14.10453035	4.173746785	6.137006874
Gene811	2.282654578	8.059696957	2.215237483	3.57581779
Gene812	3.334169207	10.76818469	3.397938408	4.736668473
Gene813	3.032621952	10.19252352	3.047313	4.404325421
Gene814	4.253862954	14.28566419	4.228123107	6.136703298
Gene815	3.394496185	11.11042301	3.282741172	5.072124816
Gene816	1.930423987	6.474635104	1.9068466	2.525412208
Gene817	3.833086693	12.89870442	3.934389868	6.286124242
Gene818	4.725742112	15.71619262	4.704109945	6.697380418
Gene819	2.78679461	9.32083486	2.755319503	3.926584599
Gene820	1.781235948	6.380377106	1.743178354	3.079060069
Gene821	1.616167505	6.035304561	1.736388091	1.913821853
Gene822	-0.637613084	0.268915141	0.955936533	2.513087639
Gene823	0.722839227	2.839782606	0.865182421	1.393704603
Gene824	1.423681956	4.951717426	1.625035172	2.694378834
Gene825	1.107147035	4.350777669	1.156378856	0.841145115
Gene826	-0.485535377	-2.529045057	-0.457447061	-1.210957778
Gene827	0.795388516	2.093855662	0.68364168	-0.86252981
Gene828	-2.228863042	-7.246466027	-2.949976365	-2.337489325
Gene829	0.392036129	2.075847601	0.304121616	-0.515569781
Gene830	-1.858836762	-7.47074519	-2.102774809	-0.395237864
Gene831	0.794766277	2.207525024	0.885816302	2.821849907
Gene832	0.761993053	2.745019749	0.653578826	1.016517829
Gene833	2.513806908	8.443114014	2.507880279	3.402040697
Gene834	-2.253026158	-8.426954614	-2.519235893	-6.867375449
Gene835	0.820511916	2.359737251	0.78492424	0.279920658
Gene836	2.320313681	7.904017808	2.284401455	4.528541934
Gene837	2.123197163	6.852081034	2.019479031	3.984671462
Gene838	3.258696326	10.89166223	3.243489077	4.270993824
Gene839	2.815833092	9.468101787	2.670021354	4.485441467
Gene840	3.696149567	12.08012191	3.618176151	5.503370086
Gene841	3.188942683	11.11321867	3.515313507	5.330644098
Gene842	2.357167125	7.577544961	2.385296928	2.755018795
Gene843	2.888130735	9.365007835	2.909482053	4.004676823
Gene844	5.290042679	17.45228633	5.094933782	8.253667971
Gene845	1.087694121	3.569758013	1.199388885	3.366357335
Gene846	2.641169371	8.850709317	2.679477902	3.299097733
Gene847	-0.929614969	-2.80727916	-0.283470332	-1.375989413
Gene848	1.837113127	5.819014593	1.697141598	3.278339803
Gene849	-2.385016925	-10.97997311	-3.262496707	-1.07135652
Gene850	-1.578075132	-4.400911385	-1.578926438	-1.771045251
Gene851	3.734924254	12.34073774	3.781788375	5.622144022
Gene852	1.044564972	3.468533549	0.99015787	1.36970756
Gene853	0.877859036	3.788972364	1.087764728	1.340573288
Gene854	1.946449399	6.288831862	1.904728593	1.703737832
Gene855	-2.46471177	-10.15759165	-2.517371426	-3.340179591
Gene856	0.957540372	3.381571378	1.013761748	1.951269982
Gene857	1.346400949	4.581720457	1.386993198	2.375308317
Gene858	-1.470553494	-5.755138869	-1.543197236	-2.848248515
Gene859	0.515719373	1.645269768	0.552453785	0.252782222
Gene860	2.372575152	7.93862212	2.356260917	4.916256947
Gene861	-0.939262305	-3.050224377	-1.054580462	-2.615948848
Gene862	3.117195493	10.38551835	3.102711779	3.77414241
Gene863	-0.695243965	-1.592506847	-0.354610633	-3.892851924
Gene864	1.019924479	3.443519331	1.158514381	0.230899139
Gene865	3.984976714	13.54270899	4.080365866	6.816071411
Gene866	1.527843732	5.372162173	1.568019016	2.316516007
Gene867	-2.423565071	-5.996129994	-1.621188526	-2.152441586
Gene868	1.609244971	5.199668397	1.464176681	1.668930749
Gene869	1.069086099	3.683458347	1.132160971	1.691500036
Gene870	-0.296484897	-1.342847315	-0.378152662	-0.192142983
Gene871	4.637400644	15.68247238	4.673829359	6.781807076
Gene872	0.386340236	1.379070517	0.701876884	1.149997912
Gene873	2.040515681	6.743619663	2.13314523	2.16818081
Gene874	4.401381846	14.63378017	4.449260456	6.274232447
Gene875	-0.651051606	-2.863081564	-0.717363616	-2.783343382
Gene876	1.621545991	5.223516989	1.547183496	1.751827334
Gene877	0.533173531	1.801960885	0.474758474	0.734862296
Gene878	2.33111266	7.993679982	2.256032098	4.081773976
Gene879	3.294439499	10.67875835	3.203641924	4.837076587
Gene880	-0.477861563	-1.651612974	-0.639458972	-0.738883112
Gene881	2.01127686	6.483085292	1.921854347	2.930065728
Gene882	3.201079782	10.84602607	3.235193249	3.963491015
Gene883	-0.128363422	-0.813360112	0.265879119	-1.199037187
Gene884	0.491569644	2.243236695	0.722961326	1.868063531
Gene885	2.425901609	7.956680491	2.393527328	3.874959934
Gene886	0.137588305	1.229428784	0.060636151	1.638848359
Gene887	0.607027359	1.995232832	0.63961556	1.180227738
Gene888	1.301637872	3.997158346	1.314924684	0.87131029
Gene889	0.404711508	1.214408705	0.319618386	-0.45448019
Gene890	1.380067041	2.334426735	0.917740111	1.465253396
Gene891	3.250131761	11.12536078	3.123453263	4.253621975
Gene892	1.514083635	5.083119508	1.696207522	2.361680709
Gene893	1.177144396	4.51956079	1.262750208	1.338194105
Gene894	4.500877829	15.15076678	4.542832328	6.582060024
Gene895	-0.817070875	-2.581344217	-0.717336842	-0.581311933
Gene896	1.668667332	4.642971198	1.602211983	1.035666051
Gene897	-1.020445444	-4.410940088	-0.999518673	-0.691153274
Gene898	2.728851708	8.918712702	2.717815637	3.596598582
Gene899	3.461690138	11.89449548	3.375176504	4.373366378
Gene900	1.909248484	6.79967083	1.969608679	3.610190589
Gene901	-0.023324144	0.286224145	0.189052285	0.043169993
Gene902	4.57004097	15.56281558	4.567326825	6.150363934
Gene903	2.73199594	9.080771971	2.697774886	4.151912379
Gene904	2.580553343	8.545423189	2.473365352	4.031724795
Gene905	-0.860815297	-1.836612304	-0.598073421	-0.566060134
Gene906	1.741583437	5.964807212	1.865614471	3.059631995
Gene907	4.069491168	13.40442091	4.05189459	6.519754979
Gene908	2.665619992	8.942757352	2.617541466	3.723320428
Gene909	3.588426401	11.83029372	3.513135026	5.026493921
Gene910	4.075921757	13.54294691	4.002332695	5.88054754
Gene911	1.56977393	5.668657709	1.715806688	2.353345992
Gene912	3.230983903	11.20226423	3.387395348	4.428033772
Gene913	1.71262431	5.771768112	1.684881554	2.146242339
Gene914	-3.509244035	-10.86961165	-2.291177626	-2.672463469
Gene915	0.519824806	1.154946796	0.369605655	-0.576637409
Gene916	3.524448928	11.64059995	3.552613335	4.699617974
Gene917	3.781557918	12.69467952	3.766368841	4.6194006
Gene918	3.97182372	12.90110883	3.833901469	5.789916698
Gene919	1.315378291	4.242278183	1.242739087	1.963678548
Gene920	0.705432229	1.783110185	0.723214957	0.272050192
Gene921	3.90174548	12.98634507	3.860089226	4.897023705
Gene922	4.205297941	14.25294761	4.243361713	6.949919288
Gene923	-1.189263236	-3.868457124	-0.971270878	-1.793986486
